"What is a process, and how do threads and address spaces relate to it?","A process is an abstraction provided by the operating system to represent a running program. 
It consists of an address space and one or more threads.

An address space is an isolated area of memory assigned to a process - including the code, data, heap, and stack.

A thread is the smallest unit of execution within a process. It runs code independently but shares the process's address space with other threads. Each thread has its own call stack and program counter, allowing multiple threads to execute concurrently within the same process.

This shared memory model allows threads to communicate efficiently but introduces risks like race conditions, requiring careful synchronization."
"Shared Memory Concurrency (Description + Key Issues)","An operation by one thread is visible in another thread if its effect can be seen via main memory.

For two threads to communicate using shared memory:
The sending thread must write a message (changing some piece of data )in to a memory location
The sending thread notifies any receiver threads that it has done so (set a boolean flag to true)
The receiving thread reads the message from the same shared memory location
For synchronous communication, the receiving thread notifies the sender than it has done so.

Key Issues: 
Context Switches - If the OS changes which thread is executing midway through the order of the above process, it might break it.
Compiler Reordering - The compiler may reoorder instructions for efficiency, which can also break due to the order required.
Race Conditions - Two threads changing the same memory address at unexpected times."
"Critical Regions, Mutual Exclusion and Locking","Critical Region: The part of the PROGRAM (source code) where a shared resource is accessed. (Each thread therefore has their own critical regions)

Mutual Exclusion: If one thread is in its critical region for a resource then no other thread can be in their critical region for that resource.


Locking:
Different algorithms exist to implement mutual exclusion, ensuring that only one thread can access a critical section at a time.
A naive approach is to use a shared boolean flag, where a thread checks if the flag is false (indicating the critical section is free), and then sets it to true to enter. However, this approach is flawed: if a thread checks the flag and is then preempted (context switch) before setting it, another thread may also see the flag as false and enter — violating mutual exclusion.
Peterson’s Algorithm improves on this by combining intent flags with a ""turn"" variable. Each thread:


Signals its intent to enter.


Sets the turn to the other thread, indicating willingness to let the other go first.


Waits if the other thread also wants to enter and it's their turn.


This guarantees mutual exclusion — but only under a strict memory model. In modern systems, where memory operations may be reordered by the compiler or CPU, Peterson's algorithm requires memory barriers or atomic operations to function correctly. Without them, the visibility and order of reads/writes can break its correctness."
"Memory Barriers and Atomicity","Compilers and hardware reorder instructions within individual threads. Although the entire CPU will still follow the same logic, the order in which one thread sees changes in memory made by another thread may not follow the logic of the source code.

Memory barriers (also known as memory fences) are low-level CPU instructions that prevent both the compiler and the processor from reordering certain memory operations across the barrier. 
This ensures that memory accesses appear in the correct order from the perspective of other threads or processors, which is crucial in concurrent programming.

Atomic operations are indivisible operations that complete without the possibility of interruption. 
This means that once an atomic operation begins, it runs to completion before any other thread can observe or modify the involved memory, ensuring data consistency in multithreaded environments.

Both memory barriers and atomic operations are low-level synchronization mechanisms provided by the CPU. While they are often available directly in low-level languages, high-level languages typically expose them through concurrency libraries or language constructs like synchronized, volatile, or atomic types."
"How is Modern Shared-Variable Concurrency Primarily Implemented?","Modern shared-variable concurrency is primarily implemented using locking algorithms that incorporate hardware-supported atomic operations and memory barriers, rather than classic software-only algorithms like Peterson's.
Hardware-supported atomic operations (e.g., compare-and-swap (CAS), test-and-set, fetch-and-add) are built directly into the CPU instruction set (e.g., x86, ARM). These operations form the foundation for: Locks and mutexesLock-free and wait-free data structuresConcurrent programming libraries (like Java's java.util.concurrent, or C++'s )   These are faster, more reliable, and scalable, especially on multicore systems."
"Locking (explicit vs intrinsic)","Locks are used to enforce mutual exclusion by blocking threads when a resource is not available. 
High-level languages like Java provide locking mechanisms as part of their standard libraries, but under the hood, these mechanisms rely on hardware-supported atomic operations and memory ordering guarantees, combined with well-designed software algorithms.

Intrinsic Locking (Implicit)


Uses the synchronized keyword in Java.


Automatically manages lock acquisition and release on an object’s intrinsic lock (monitor).


Common for small, fine-grained critical sections (e.g., synchronized methods or blocks).


Easier to use but less flexible.


Explicit Locking


Uses classes like ReentrantLock from java.util.concurrent.locks.


Offers greater control, such as trying to acquire a lock with timeout or interruptibility.


Can lock entire classes or more complex scopes.


More powerful, but requires careful management to avoid deadlocks or confusion."
"Monitors (The producer-consumer problem)","Monitors provide high-level communication primitives such as wait(), notify(), and notifyAll(). 
They allow threads to coordinate access to shared resources safely.

 The Producer-Consumer problem is a classic example where a producer thread writes data to a shared resource (like a buffer), and a consumer thread reads from it.
 The key issue is ensuring the consumer doesn't read data before the producer has written it.Monitors help solve this problem by allowing threads to wait when a condition isn't met (e.g. buffer is empty) and to notify others when the condition changes (e.g. item added).
 For example, the consumer waits if the buffer is empty, and the producer notifies the consumer once it has produced something.

In Java, every object has an intrinsic monitor associated with it, as part of the Object class.
 Calling o.wait() causes the calling thread to release the monitor lock on o and enter o's wait set.
 Later, calling o.notify() wakes one arbitrary thread from the wait set for o, allowing it to attempt to reacquire the monitor lock before continuing execution."
"Java.util.concurrent common structures (BlockingQueue and BlockingDequeue, CountDownLatch. Cyclic Barrier, Phaser)","The java.util.concurrent library provides built-in implementations of common concurrent structures.
 These are generally preferable to writing custom synchronization logic, as they are well-tested and optimised.
BlockingQueue and BlockingDeque


Thread-safe queues and double-ended queues designed for concurrent access.


Allow threads to block when reading from an empty queue or writing to a full one.



CountDownLatch


Enables multiple threads to coordinate using a one-time barrier.


Threads call await() to block until the latch count reaches zero.


The count is set initially and can only be decreased using countDown(); it cannot be reset.



CyclicBarrier


A reusable barrier: once all threads have called await(), the barrier resets to its initial count.


Suitable for scenarios requiring repeated synchronization at defined checkpoints.


The barrier can also be manually reset using reset().



Phaser


A generalisation of CyclicBarrier that allows dynamic registration and deregistration of threads.


Supports coordination across multiple phases.


Also enables hierarchical organisation of phases for more complex synchronisation patterns."
"Message Passing Concurrency (Definition + Pros + Cons)","Definition
Message passing concurrency is a model in which threads (or processes) interact exclusively by sending and receiving messages. Instead of sharing memory, all communication occurs through explicit message exchanges, which can be synchronous or asynchronous.

Pros
No shared memory: Eliminates the need for critical sections and mutex locks. Lower risk of deadlocks: Since there are no locks, traditional lock-based deadlocks are avoided. Ideal for distributed systems: Message passing aligns naturally with systems where memory cannot be shared. Clean abstraction: Well-defined interfaces make it easier to reason about communication and concurrency.
Cons
Speed! Message passing can be slower than shared memory due to context switching and data copying.
Complexity: As the number of messages increases, managing communication overhead becomes more complex.However, message passing could become as efficient as shared memory communication with modern hardware support (architectural support for direct small messages between cores asnd a mapping table of threads to cores). This is an emerging paradigm."
"Synchrony and Asynchrony in MPC (+ trade offs)","In general communication terms (not just in programming), synchronous and asynchronous describe whether participants need to be engaged at the same time for communication to occur.

Synchronous message passing is when the sender blocks until the receiver is ready
In synchronous message passing, the sender blocks until the receiver is ready to accept the message.
 It is common in hardware description languages and is generally easier to reason about in small systems.
 However, in distributed systems, achieving this coordination can be difficult or even impossible due to network delays and lack of global timing.


Asynchronous message passing is when the sender does not block and messages are buffered until the receiver is ready.
This model is the preferred choice for distributed applications because it allows components to operate independently.
 However, it is harder to program: You usually send a message and set up a callback to handle the response later.These callbacks can appear non-linearly in the program flow, making debugging and reasoning about execution more difficult. The program’s control flow becomes driven by the arrival and handling of messages, rather than a straightforward sequence of instructions.."
